,TOP0_name,TOP0_role,TOP0_champion,TOP0_winrate,TOP0_wins,TOP0_losses,JGL0_name,JGL0_role,JGL0_champion,JGL0_winrate,JGL0_wins,JGL0_losses,MID0_name,MID0_role,MID0_champion,MID0_winrate,MID0_wins,MID0_losses,ADC0_name,ADC0_role,ADC0_champion,ADC0_winrate,ADC0_wins,ADC0_losses,SUP0_name,SUP0_role,SUP0_champion,SUP0_winrate,SUP0_wins,SUP0_losses,TOP1_name,TOP1_role,TOP1_champion,TOP1_winrate,TOP1_wins,TOP1_losses,JGL1_name,JGL1_role,JGL1_champion,JGL1_winrate,JGL1_wins,JGL1_losses,MID1_name,MID1_role,MID1_champion,MID1_winrate,MID1_wins,MID1_losses,ADC1_name,ADC1_role,ADC1_champion,ADC1_winrate,ADC1_wins,ADC1_losses,SUP1_name,SUP1_role,SUP1_champion,SUP1_winrate,SUP1_wins,SUP1_losses
EUW1_6140887852,tippetoe,TOP,KSante,0.6666666666666666,2,1,I Cry They Die,JGL,Graves,0.5,2,2,BTS error404,MID,Lux,0.4,2,3,Put it inside me,ADC,Lucian,0.4,2,3,Im Mazi,SUP,Nami,0.5357142857142857,30,26,925KOSTAS,TOP,Aatrox,0.5,11,11,Padsen,JGL,Kindred,1.0,1,0,lil cheater,MID,Vladimir,0.46153846153846156,12,14,AikoAtm,ADC,Jinx,0.5614035087719298,32,25,DeividVazBa2,SUP,Lulu,0.49523809523809526,52,53
EUW1_6094761239,Migv,TOP,Sett,0.5,3,3,SETAX99,JGL,JarvanIV,0.5422885572139303,109,92,u need Therapy,MID,Viktor,0.5714285714285714,88,66,YAKUP LOLOYNUYOR,ADC,Kaisa,0.5392156862745098,55,47,LolèdivertenteXD,SUP,Morgana,0.4117647058823529,7,10,buyopi,TOP,Akali,0.5,19,19,راف,JGL,Warwick,0.6392405063291139,101,57,Syaophen,MID,Yone,0.6,6,4,Taatuh,ADC,Caitlyn,0.5217391304347826,24,22,Kermeli,SUP,Lux,0.5,17,17
EUW1_6116642885,Toni997,TOP,Kaisa,1.0,1,0,dupahkun,JGL,JarvanIV,0.625,10,6,SexyToxicPriest,MID,Yone,0.38461538461538464,5,8,dawciomadryt,ADC,Twitch,1.0,4,0,marcin0222,SUP,Yuumi,0.3684210526315789,7,12,Emotional Penta,TOP,Akshan,0.5094339622641509,135,130,Morflenouille,JGL,Skarner,0.0,0,2,Besviken,MID,Syndra,0.6153846153846154,8,5,Romott,ADC,Seraphine,0.0,0,2,Éric Z Fan,SUP,Karma,0.0,0,1
EUW1_6132729942,Yxng 6ty,TOP,Blitzcrank,0.6666666666666666,2,1,B0mBadas,JGL,Khazix,0.5,2,2,TukasTheGiant,MID,Malzahar,0.25,2,6,Pop,ADC,Varus,0.55,11,9,Persëfone,SUP,Lux,0.5398773006134969,88,75,capsman,TOP,Zac,0.5404157043879908,234,199,Futaba,JGL,Evelynn,0.5945945945945946,22,15,BestOtpOnly,MID,Vex,0.5294117647058824,9,8,Sale Gauchiste,ADC,Kaisa,0.4666666666666667,7,8,Teem0saurus Rex,SUP,Alistar,0.6666666666666666,12,6
EUW1_6140619989,Pixes,TOP,Sett,-1.0,-1,-1,Laksbi,JGL,Rammus,0.75,6,2,Jan28,MID,Azir,-1.0,-1,-1,Alex stinkt,ADC,KogMaw,0.0,0,1,Lutschwig,SUP,Renata,-1.0,-1,-1,Bwipo Unleashed,TOP,Garen,0.5,5,5,tvcrieki42,JGL,Zac,0.6296296296296297,17,10,Deft Unshackled,MID,Sylas,0.5625,9,7,Nightkuso,ADC,Varus,1.0,2,0,zhaleh,SUP,Heimerdinger,-1.0,-1,-1
EUW1_6106581474,ghost7z,TOP,Irelia,0.625,10,6,Kondi47,JGL,Nocturne,0.5806451612903226,36,26,JerkzOnMid,MID,Sylas,0.5511627906976744,237,193,PKMaster0036,ADC,Vayne,0.2857142857142857,2,5,Mangalan,SUP,Renata,-1.0,-1,-1,Mîthos,TOP,Pantheon,0.5159817351598174,113,106,MalleMeister,JGL,Nidalee,0.6428571428571429,18,10,LogicXy,MID,Veigar,1.0,1,0,Glanerat,ADC,Kaisa,0.4722222222222222,51,57,Shopster,SUP,Pyke,1.0,1,0
EUW1_6049848053,Dgueux,TOP,Olaf,0.5454545454545454,72,60,Darth Vaper,JGL,Diana,0.5395894428152492,184,157,KinK EastWood,MID,Fizz,0.5757575757575758,19,14,Thoylar,ADC,TahmKench,1.0,3,0,ZWEI DÖNER BITTE,SUP,Senna,0.3684210526315789,14,24,BeresTTxEUW,TOP,Fiora,0.5,47,47,LoneWolf52,JGL,Graves,0.3793103448275862,11,18,McMïd,MID,Ahri,-1.0,-1,-1,Barksha,ADC,Zeri,0.4666666666666667,35,40,Sandcollector,SUP,Yuumi,0.25,1,3
EUW1_6140496225,Trocool,TOP,Sejuani,-1.0,-1,-1,Pexensatio,JGL,Elise,0.65,13,7,TheAlex126,MID,Vex,0.3333333333333333,2,4,aars,ADC,Samira,0.5441176470588235,37,31,DeayRoz,SUP,Rakan,1.0,3,0,Wuluxunu,TOP,Ornn,0.515625,33,31,PO lololipop,JGL,Viego,0.0,0,4,Greedosaur,MID,Zac,0.5325443786982249,90,79,Anonguitar88,ADC,Kalista,0.6923076923076923,9,4,gzbpsq,SUP,Yuumi,0.44,77,98
EUW1_6121630161,Katastrophje,TOP,Mordekaiser,-1.0,-1,-1,DerHenno,JGL,Nidalee,-1.0,-1,-1,vallahalla,MID,Gangplank,0.5454545454545454,6,5,FFroakie,ADC,Caitlyn,0.0,0,3,KresTas,SUP,Ashe,1.0,1,0,amumu ap op,TOP,Renekton,-1.0,-1,-1,4urae,JGL,Sejuani,-1.0,-1,-1,Clown77,MID,Seraphine,0.6,3,2,ADN Overclocké,ADC,Lucian,0.6666666666666666,2,1,Fabix,SUP,Nami,0.6666666666666666,6,3
EUW1_6134862983,ME SPIN ME WIN,TOP,Tryndamere,0.5119521912350598,257,245,SeT EviLynn v3,JGL,Evelynn,0.5161290322580645,16,15,Arbitrage Ahri,MID,Ahri,0.5625,9,7,hahhhaybi ORÇO,ADC,Lucian,0.4,2,3,Wem,SUP,Lux,1.0,2,0,YetWith,TOP,Gnar,0.45454545454545453,20,24,tom134,JGL,Vi,0.6526946107784432,109,58,Fissekarlen,MID,Vex,0.5645161290322581,35,27,Neonblu77,ADC,MissFortune,0.6067415730337079,54,35,Gnarlybro,SUP,Brand,0.5,1,1
EUW1_6141723952,Sakkalar,TOP,Riven,0.6190476190476191,13,8,MyPochita,JGL,Kayn,0.5179127725856698,665,619,El Bøøsted,MID,Vladimir,0.6666666666666666,10,5,Legendary Hexler,ADC,Seraphine,0.3125,5,11,Hommesousestimé,SUP,Senna,0.5494652406417112,411,337,samperi99,TOP,Gragas,0.5578947368421052,53,42,Korvarkalle,JGL,Nocturne,0.5666666666666667,34,26,NBP Jedov,MID,Malzahar,0.125,1,7,TheBοss,ADC,Caitlyn,0.4444444444444444,4,5,cdcnono,SUP,Thresh,0.5384615384615384,14,12
EUW1_6141112154,RG Tiltlòrd,TOP,Garen,0.6363636363636364,7,4,Dinsen,JGL,Ekko,0.5533333333333333,83,67,Lahmanda,MID,Akshan,0.5306122448979592,78,69,ZERO Chankyρuto,ADC,Lucian,0.36363636363636365,4,7,Zaphyra,SUP,Janna,0.5555555555555556,5,4,Tensiune,TOP,KSante,0.5,1,1,EfeTheBaiter,JGL,Shaco,0.4666666666666667,14,16,Shacocaine,MID,Singed,0.5588235294117647,57,45,Bifajixahe,ADC,Kaisa,0.5703703703703704,154,116,TheVicugnaPacos,SUP,Swain,0.3333333333333333,1,2
EUW1_6140457389,Don Bilbo 420,TOP,Olaf,0.25,1,3,Strammos,JGL,Zed,0.4444444444444444,4,5,Hide 0n Kvsh,MID,Vex,0.35294117647058826,6,11,Jacky Cola 13,ADC,MissFortune,0.4,4,6,XC8p3,SUP,Leona,1.0,2,0,ErikB3rgatroll,TOP,Irelia,0.5,1,1,RolleBolle55,JGL,Amumu,0.0,0,1,GeekTintin,MID,Zoe,-1.0,-1,-1,Old Noodle Man,ADC,Aphelios,0.5,7,7,Yeijin,SUP,Lulu,0.3333333333333333,1,2
EUW1_6085080410,T1 Gumayussi,TOP,Irelia,0.25,1,3,Ël Bàn,JGL,Nidalee,-1.0,-1,-1,Meooc,MID,Yone,0.5306122448979592,130,115,Waterkumming,ADC,Ezreal,0.47368421052631576,9,10,CraftyF0X,SUP,Yuumi,0.47297297297297297,35,39,KhaYnx,TOP,Volibear,0.5,3,3,SeRgIoGs12,JGL,Trundle,-1.0,-1,-1,ReKoaLD,MID,Nilah,0.0,0,1,Thånatøs,ADC,TahmKench,0.5588235294117647,95,75,Bignole,SUP,Senna,-1.0,-1,-1
EUW1_6139153885,spayride,TOP,Pantheon,0.6296296296296297,85,50,gordonalga,JGL,Graves,0.5,4,4,Shkwadraii,MID,Malzahar,0.5246636771300448,117,106,xVαyZeR,ADC,MissFortune,0.6153846153846154,56,35,SkyCh4os,SUP,Morgana,0.5238095238095238,187,170,TheEyeofUchiha,TOP,Garen,0.0,0,1,Corujino,JGL,Nunu,-1.0,-1,-1,Threeleg,MID,Vladimir,0.5569620253164557,44,35,Sigrien,ADC,Vayne,-1.0,-1,-1,DaknoFam,SUP,Pyke,0.5435540069686411,156,131
EUW1_6140109696,PineI,TOP,KSante,-1.0,-1,-1,Αkαlynn,JGL,Evelynn,0.6027397260273972,44,29,Izzigloüsh,MID,Swain,-1.0,-1,-1,Lord Tatoukahes,ADC,Caitlyn,0.5,1,1,NoSanâNoLife,SUP,Zilean,0.5,2,2,OEC Thitho75,TOP,Jayce,0.5,28,28,Tonas,JGL,Blitzcrank,0.0,0,1,Sαdαmε,MID,Heimerdinger,-1.0,-1,-1,432432,ADC,Ezreal,-1.0,-1,-1,Mytrion,SUP,Pyke,0.5925925925925926,16,11
EUW1_6046932031,Ryoga,TOP,Akali,0.5,21,21,DoctorBruuno,JGL,Volibear,0.631578947368421,12,7,RebeuxCop,MID,Annie,0.5,10,10,PENGUIN25,ADC,Veigar,0.4444444444444444,4,5,Imma be a daddy,SUP,Senna,0.6666666666666666,2,1,JoEkyp,TOP,Yorick,0.6666666666666666,2,1,Oasez,JGL,MonkeyKing,-1.0,-1,-1,AFR Fan,MID,Yasuo,1.0,1,0,DenTheMann,ADC,Xayah,0.4166666666666667,5,7,denzilsmurf,SUP,Yuumi,0.5714285714285714,4,3
EUW1_6139900925,Cailloux v2,TOP,Nasus,0.5151515151515151,17,16,Jaheirra,JGL,Warwick,0.5058195926285161,1043,1019,Jastyneviall,MID,Vex,0.5783132530120482,96,70,Akkû,ADC,Caitlyn,0.5152838427947598,118,111,Toofus,SUP,Sona,0.5579710144927537,77,61,yeeted by yi,TOP,Gangplank,1.0,1,0,DasFrettchenHD,JGL,Evelynn,0.75,3,1,nsusrhz,MID,Cassiopeia,-1.0,-1,-1,1chundnichdu,ADC,Jhin,0.6222222222222222,84,51,Strangus,SUP,Karma,0.4879518072289157,81,85
EUW1_6137406961,Pisiem,TOP,Vayne,0.3333333333333333,2,4,Petit Burlock,JGL,Nidalee,0.0,0,2,δij,MID,Cassiopeia,-1.0,-1,-1,MasterPiece I,ADC,Jhin,0.49504950495049505,50,51,Peixremix,SUP,Pyke,0.5284552845528455,195,174,BULL Fr4akzZ,TOP,DrMundo,0.8333333333333334,5,1,BIGGERISBETTER,JGL,Nocturne,0.5,12,12,TwistedPT,MID,Azir,0.5217391304347826,12,11,Lá Tortuga,ADC,Lucian,0.5945945945945946,22,15,Permengate2Soude,SUP,Blitzcrank,1.0,1,0
EUW1_6140554064,MAGUIRE THE GOAT,TOP,Ornn,-1.0,-1,-1,Poro Enjoyer,JGL,Nunu,-1.0,-1,-1,Moist Nugget,MID,Ryze,-1.0,-1,-1,Trijufol749,ADC,Vayne,-1.0,-1,-1,EoMa,SUP,Alistar,0.36363636363636365,4,7,ÞORNaliSTAR,TOP,Gwen,0.8333333333333334,5,1,Þornstar Gragas,JGL,Sejuani,-1.0,-1,-1,HELL IN DRESS,MID,Irelia,0.6,3,2,Lazyboyy,ADC,Twitch,0.3333333333333333,1,2,Alethrael,SUP,Nautilus,1.0,1,0
EUW1_6057586356,DangerReflex,TOP,Gnar,0.5355450236966824,113,98,Elselinwinds,JGL,Shyvana,0.4444444444444444,4,5,Mon Prince,MID,Yasuo,0.55,11,9,GATES,ADC,Kaisa,-1.0,-1,-1,IBaRrzZuk,SUP,Nami,0.6,6,4,Kungen i Djungel,TOP,Warwick,0.5380710659898477,318,273,Sagek99,JGL,Viego,0.48148148148148145,13,14,LadyWalker,MID,Orianna,0.75,3,1,Alguarito,ADC,Caitlyn,0.6666666666666666,4,2,FenixHero,SUP,Lulu,0.47540983606557374,29,32
EUW1_6139386088,ardyy,TOP,Shen,0.475,38,42,cuey,JGL,Skarner,-1.0,-1,-1,YaReDx3D,MID,Lux,-1.0,-1,-1,LePalleDellaYori,ADC,Ashe,0.6,12,8,Vahnl,SUP,Sett,0.5,3,3,TrenAbusing,TOP,Renekton,-1.0,-1,-1,SkullTrooper08,JGL,Garen,-1.0,-1,-1,MΙLFHUNTER,MID,TwistedFate,-1.0,-1,-1,szwjrvpc,ADC,Caitlyn,0.42857142857142855,3,4,Moebyn,SUP,Alistar,0.6,3,2
EUW1_6115924629,LookíngForEgirl,TOP,Darius,0.5384615384615384,161,138,FNC Bafana,JGL,Ekko,0.5,5,5,Rødt Grayson,MID,Katarina,0.5,6,6,FatBaZyl,ADC,MissFortune,0.6428571428571429,9,5,Wolfgang Stark,SUP,Yuumi,0.65625,21,11,xcwxeoa,TOP,Gnar,-1.0,-1,-1,jg since 2yo,JGL,Graves,0.5233644859813084,56,51,legolass99,MID,Anivia,0.6666666666666666,2,1,Pennywise Main,ADC,Caitlyn,0.3125,5,11,Ralle152,SUP,Senna,0.45454545454545453,10,12
EUW1_6139993727,Gölcükspor,TOP,Lillia,0.4,4,6,XpeH BaM BceM,JGL,Nocturne,0.5675675675675675,105,80,Størias,MID,Syndra,0.5,1,1,WhiteNugets,ADC,Twitch,0.525,21,19,STG Syfalos,SUP,Nami,0.4375,7,9,GWF Solar,TOP,Warwick,0.48484848484848486,16,17,Svensk iddi,JGL,Kayn,0.5862068965517241,85,60,ImSmurfingBrooo,MID,Katarina,-1.0,-1,-1,IsmoLait3la,ADC,MissFortune,0.6571428571428571,23,12,T4ikuri,SUP,Zilean,0.5111111111111111,23,22
EUW1_6132246146,Carnifex53,TOP,Darius,0.0,0,2,DaRodla,JGL,Udyr,0.5555555555555556,15,12,Emenike,MID,Viktor,0.6818181818181818,15,7,G la Haineeee,ADC,MissFortune,0.568,71,54,xKélé,SUP,Renata,-1.0,-1,-1,WïNGS,TOP,Yone,0.5,1,1,14DaySuspOnMain,JGL,Blitzcrank,0.6666666666666666,14,7,SpeckJack,MID,Kassadin,0.5416666666666666,13,11,Mastercard TF,ADC,Lucian,0.6666666666666666,36,18,ItsCookiesM8,SUP,Karma,0.3,6,14
EUW1_6138439128,Magic Schorsch,TOP,Renekton,0.510250569476082,224,215,Outcell,JGL,Lillia,0.6103896103896104,94,60,ÕTS,MID,Fizz,0.5633802816901409,40,31,lowpros,ADC,Vayne,1.0,3,0,Tequifresa Fresh,SUP,MissFortune,1.0,1,0,Parradizz,TOP,Jax,0.4117647058823529,7,10,Yamachi,JGL,Rammus,0.4482758620689655,13,16,LeftBack,MID,Yasuo,0.5636363636363636,31,24,Exotíc,ADC,Ashe,0.5333333333333333,8,7,Unknowninter02,SUP,Pyke,0.0,0,1
EUW1_6136667574,jollejollelini,TOP,KSante,-1.0,-1,-1,Dejio,JGL,Rammus,-1.0,-1,-1,MagicWänker,MID,Vex,0.6666666666666666,20,10,MrCoconout,ADC,Jhin,0.5070422535211268,72,70,Notorious EvaMaj,SUP,Yuumi,-1.0,-1,-1,Shunsuii Kyôraku,TOP,Yone,0.5,1,1,HotariMusume,JGL,Karthus,-1.0,-1,-1,AlShin,MID,Yasuo,-1.0,-1,-1,i was hidding xd,ADC,Twitch,0.5,20,20,averagetrashsupp,SUP,Singed,-1.0,-1,-1
EUW1_6094538897,seoxis,TOP,Fiora,0.55,33,27,happy witch,JGL,MasterYi,0.75,6,2,Byolou24,MID,Katarina,0.5806451612903226,72,52,JackeyLoveInting,ADC,Ezreal,0.5882352941176471,30,21,B3astFr0m3ast,SUP,Zyra,0.5792682926829268,95,69,sith lord garen,TOP,Garen,0.631578947368421,60,35,Dylanndu13,JGL,Viego,0.4,2,3,TARlK,MID,Syndra,0.625,10,6,AmmaSmack,ADC,Draven,0.6,6,4,Chêrophobia,SUP,Maokai,0.0,0,3
EUW1_6139359979,NOXIAN MACHINE,TOP,Darius,0.6601941747572816,68,35,M4N3X142,JGL,Diana,0.5769230769230769,60,44,Hævateinn,MID,Seraphine,0.5797665369649806,149,108,SorryDuibuQi,ADC,Kalista,1.0,3,0,ArliQAQ,SUP,Renata,-1.0,-1,-1,xXDaBoomerXx,TOP,Irelia,0.5833333333333334,14,10,true lovers,JGL,Hecarim,0.7058823529411765,12,5,GOTHBOICLIQUE,MID,Kassadin,0.75,15,5,FLAGGED 86761417,ADC,Draven,0.5714285714285714,24,18,FoxyEgirl,SUP,Soraka,0.38461538461538464,5,8
EUW1_6141408255,bjorncouille2fer,TOP,Singed,0.5514705882352942,225,183,Synthol X9,JGL,LeeSin,-1.0,-1,-1,MIDKIŃGDOM,MID,Syndra,0.5967741935483871,37,25,HotFlopGG,ADC,Samira,0.4,2,3,ig kr3p1nk,SUP,Pyke,0.6022727272727273,53,35,STRANGEST SPIRIT,TOP,Lillia,0.6923076923076923,9,4,Gianatimin,JGL,Khazix,-1.0,-1,-1,pregnant inoh,MID,Leblanc,0.5,2,2,evil damir face,ADC,Jinx,0.25,1,3,guyem12,SUP,Blitzcrank,0.5555555555555556,35,28
EUW1_6130031401,Alathórian,TOP,TahmKench,0.651685393258427,58,31,random CEO,JGL,Zed,0.6538461538461539,17,9,SliestCracker,MID,Xerath,0.6153846153846154,16,10,jackobo,ADC,Ezreal,0.5625,27,21,Grexiem,SUP,Bard,0.5963302752293578,65,44,iam the punisher,TOP,Jax,0.5142857142857142,36,34,Fruit juice L,JGL,Sejuani,0.0,0,1,Fizzting U ,MID,Fizz,0.5081967213114754,93,90,27 years old,ADC,Jhin,-1.0,-1,-1,MiauwKittenOwO,SUP,Morgana,0.3333333333333333,10,20
EUW1_6110125911,Tobigloux,TOP,Fiora,0.375,3,5,Dianaderigha,JGL,Graves,0.5555555555555556,15,12,çelıncır ronove,MID,Kassadin,0.625,20,12,LaKerZ,ADC,MissFortune,0.5,16,16,Anima Possessed,SUP,Nami,0.6415094339622641,34,19,el patrons,TOP,Ornn,0.0,0,1,YOUR MOM A H03,JGL,Twitch,-1.0,-1,-1,Provider Boli,MID,Zilean,0.47619047619047616,10,11,VieuxPoulpe,ADC,Caitlyn,0.4339622641509434,23,30,Dowcola,SUP,Blitzcrank,0.25,1,3
EUW1_6140693936,Bas1k,TOP,Gragas,0.4791666666666667,23,25,ChosenFate,JGL,LeeSin,0.5294117647058824,54,48,Admiral NoNut,MID,Malzahar,0.5,9,9,MuchWowSoSkill,ADC,Jinx,-1.0,-1,-1,First time Bard,SUP,Bard,0.5562913907284768,84,67,Charileeee,TOP,Darius,0.5517241379310345,192,156,LouiggiEQ,JGL,Shaco,0.5555555555555556,5,4,uTvYrFTony,MID,Akali,0.5228136882129277,550,502,The Sloth Lord,ADC,Varus,0.46153846153846156,6,7,100yearsofchoke,SUP,MissFortune,0.5080213903743316,95,92
EUW1_6131880154,canape2plac,TOP,Jayce,0.5,1,1,Tales of fear,JGL,Graves,-1.0,-1,-1,YochiGameur,MID,Zac,0.5857142857142857,82,58,Yujin528,ADC,Taric,0.5,1,1,Lillia Ass Fan,SUP,Riven,-1.0,-1,-1,TSM Peter Peng,TOP,Fiora,-1.0,-1,-1,Calsefer,JGL,Ekko,0.3333333333333333,3,6,xXx Lazy Man xXx,MID,Annie,0.3333333333333333,1,2,Skybladerr,ADC,Kaisa,0.5555555555555556,5,4,Níght Elf,SUP,Bard,0.2,1,4
EUW1_6139350908,T1 Agingcurve,TOP,Renekton,0.0,0,1,Sony01,JGL,Kindred,0.5604395604395604,102,80,ME IRL STRONG,MID,Lux,0.42857142857142855,6,8,J03DAN,ADC,Caitlyn,0.5970873786407767,123,83,gaming enjoyer 1,SUP,Senna,0.432,54,71,Cerdita Curiosa,TOP,Shen,0.75,6,2,Asceñder Grey,JGL,Hecarim,0.5304347826086957,61,54,Naluo,MID,Syndra,0.8888888888888888,8,1,wmt,ADC,Kaisa,0.5303030303030303,70,62,De1usional,SUP,Zilean,0.5376425855513308,707,608
